User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration (Months)
JIO1079,Basic,13.3,2023-01-08,2024-09-06,India,26,Male,Mobile,6
JIO1080,Premium,6.43,2021-02-14,2024-02-17,Canada,23,Other,Laptop,12
JIO1081,Premium,11.51,2021-08-27,2023-08-27,Canada,38,Male,Mobile,12
JIO1082,Basic,4.48,2022-05-08,2023-12-12,India,56,Female,Smart TV,3
JIO1083,Premium,13.57,2021-06-23,2024-06-13,Canada,51,Other,Smart TV,3
JIO1084,Basic,5.06,2022-01-17,2023-08-13,USA,49,Female,Tablet,12
JIO1085,Basic,4.52,2022-03-16,2023-11-20,UK,26,Male,Smart TV,12
JIO1086,Premium,13.13,2021-12-10,2024-03-22,Canada,57,Other,Tablet,3
JIO1087,Basic,2.71,2021-04-16,2023-10-22,India,56,Other,Mobile,12
JIO1088,Basic,7.86,2023-11-29,2023-12-14,Australia,26,Other,Tablet,12
JIO1089,Basic,6.06,2021-12-13,2024-01-27,USA,37,Male,Laptop,3
JIO1090,Free,7.64,2021-04-18,2023-07-22,UK,30,Other,Tablet,3
JIO1091,Free,6.6,2022-04-18,2024-06-23,Australia,41,Other,Tablet,12
JIO1092,Free,0.99,2020-09-03,2023-04-22,India,50,Other,Mobile,3
JIO1093,Basic,5.68,2023-10-16,2024-05-12,Canada,24,Male,Mobile,1
JIO1094,Basic,11.82,2022-03-05,2024-01-27,India,43,Female,Mobile,1
JIO1095,Basic,6.44,2023-02-06,2023-11-01,Canada,54,Other,Tablet,3
JIO1096,Free,5.0,2022-08-04,2024-06-23,USA,35,Female,Mobile,6
JIO1097,Premium,13.41,2021-07-01,2024-11-21,UK,19,Female,Mobile,1
JIO1098,Premium,12.2,2023-09-08,2024-01-30,Australia,35,Female,Mobile,12
JIO1099,Premium,3.96,2020-09-24,2024-01-27,UK,36,Other,Tablet,1
JIO1100,Free,9.92,2020-11-06,2023-10-30,Canada,29,Other,Mobile,3
JIO1101,Premium,10.01,2023-02-22,2023-04-26,Canada,37,Male,Smart TV,1
JIO1102,Premium,5.79,2020-02-07,2023-11-23,USA,20,Male,Mobile,1
JIO1103,Basic,0.2,2020-06-04,2023-06-29,Australia,41,Male,Tablet,12
JIO1104,Basic,12.93,2022-08-19,2024-11-02,Canada,20,Female,Tablet,12
JIO1105,Basic,2.13,2023-07-05,2023-10-08,India,18,Male,Smart TV,6
JIO1106,Free,7.68,2021-05-01,2023-10-26,USA,59,Female,Mobile,3
JIO1107,Premium,14.77,2023-03-06,2024-02-03,Australia,36,Other,Tablet,6
JIO1108,Basic,14.36,2022-05-02,2023-04-29,India,47,Other,Smart TV,12
JIO1109,Basic,7.32,2022-12-08,2024-07-31,USA,60,Other,Smart TV,12
JIO1110,Basic,3.16,2021-08-10,2023-06-25,USA,60,Other,Tablet,12
JIO1111,Basic,5.1,2022-03-04,2024-07-16,Australia,40,Male,Mobile,1
JIO1112,Basic,13.33,2021-06-09,2024-08-26,USA,35,Female,Smart TV,1
JIO1113,Free,4.55,2020-04-19,2023-05-23,UK,35,Female,Tablet,1
JIO1114,Basic,10.91,2020-10-29,2024-07-28,UK,23,Male,Laptop,3
JIO1115,Premium,11.56,2020-10-22,2023-05-22,Australia,48,Female,Smart TV,12
JIO1116,Basic,0.63,2023-11-24,2024-05-20,UK,28,Female,Smart TV,1
JIO1117,Free,3.17,2023-02-15,2023-07-25,UK,53,Male,Laptop,6
JIO1118,Premium,13.99,2020-10-12,2023-12-27,Australia,42,Male,Smart TV,12
JIO1119,Premium,12.84,2022-01-06,2023-09-10,USA,57,Male,Laptop,12
JIO1120,Premium,10.3,2023-12-16,2024-01-17,Australia,26,Male,Smart TV,6
JIO1121,Basic,1.19,2020-11-26,2023-05-08,USA,27,Other,Smart TV,6
JIO1122,Basic,0.55,2022-06-29,2024-11-25,Canada,42,Male,Smart TV,6
JIO1123,Free,6.14,2021-12-05,2023-11-26,India,32,Other,Laptop,12
JIO1124,Premium,10.75,2020-10-27,2024-01-19,USA,29,Female,Mobile,6
JIO1125,Basic,4.12,2023-05-03,2023-11-25,Canada,44,Male,Laptop,6
JIO1126,Premium,11.57,2022-04-08,2023-07-06,Australia,37,Other,Tablet,12
JIO1127,Free,7.6,2020-03-31,2023-09-20,Canada,41,Female,Laptop,1
JIO1128,Free,7.9,2024-01-29,2023-08-19,USA,57,Other,Laptop,12
JIO1129,Basic,4.15,2022-07-02,2024-05-28,USA,37,Other,Laptop,1
JIO1130,Premium,12.5,2022-01-27,2024-03-17,UK,25,Other,Tablet,1
JIO1131,Basic,14.89,2022-02-12,2024-03-02,India,55,Female,Tablet,12
JIO1132,Basic,1.37,2021-12-05,2023-09-22,India,42,Male,Mobile,3
JIO1133,Basic,9.37,2021-12-13,2023-07-10,Australia,59,Male,Smart TV,6
JIO1134,Premium,4.14,2021-04-07,2024-01-03,USA,50,Other,Tablet,3
JIO1135,Basic,6.3,2023-06-18,2023-05-02,Australia,44,Other,Tablet,6
JIO1136,Premium,1.28,2022-09-27,2023-11-13,India,53,Male,Smart TV,12
JIO1137,Free,5.86,2020-06-20,2024-09-04,India,33,Female,Mobile,12
JIO1138,Premium,11.12,2020-05-13,2023-04-17,Australia,36,Other,Smart TV,12
JIO1139,Basic,11.32,2020-07-23,2023-08-19,USA,49,Male,Mobile,1
JIO1140,Premium,2.78,2021-06-12,2024-11-07,India,49,Other,Laptop,1
JIO1141,Premium,12.9,2023-09-23,2023-07-25,Australia,38,Female,Laptop,6
JIO1142,Basic,12.86,2020-01-21,2023-08-10,USA,22,Female,Mobile,1
JIO1143,Basic,7.19,2022-10-30,2024-06-08,USA,35,Female,Mobile,3
JIO1144,Premium,4.29,2023-01-10,2023-12-25,UK,45,Female,Smart TV,1
JIO1145,Basic,7.16,2023-01-07,2024-11-19,USA,25,Female,Smart TV,12
JIO1146,Basic,14.6,2020-06-13,2024-08-04,Australia,58,Male,Smart TV,1
JIO1147,Premium,2.73,2020-06-25,2024-03-22,UK,33,Male,Smart TV,12
JIO1148,Free,4.49,2021-09-02,2023-08-01,USA,23,Other,Mobile,12
JIO1149,Basic,0.21,2022-04-24,2023-11-15,UK,46,Female,Tablet,6
JIO1150,Free,8.78,2022-01-26,2024-10-16,USA,35,Female,Mobile,3
JIO1151,Free,1.49,2020-10-09,2024-05-08,USA,46,Other,Smart TV,3
JIO1152,Free,8.65,2023-08-13,2023-05-31,Australia,48,Female,Smart TV,1
JIO1153,Basic,8.99,2022-02-26,2024-01-08,USA,24,Other,Tablet,1
JIO1154,Free,8.26,2024-02-08,2024-12-04,USA,60,Male,Tablet,12
JIO1155,Premium,1.98,2023-09-30,2023-09-12,Australia,22,Other,Mobile,12
JIO1156,Basic,14.54,2023-07-04,2024-07-26,Australia,32,Other,Smart TV,12
JIO1157,Basic,0.05,2020-12-26,2024-04-22,Australia,42,Other,Smart TV,6
JIO1158,Free,8.85,2020-07-10,2024-08-24,Australia,43,Other,Mobile,1
JIO1159,Basic,1.62,2020-07-13,2024-03-11,UK,21,Male,Laptop,6
JIO1160,Basic,1.97,2022-07-13,2023-05-31,UK,28,Other,Smart TV,12
JIO1161,Basic,11.66,2021-10-23,2023-12-05,USA,46,Male,Mobile,3
JIO1162,Premium,7.16,2024-01-23,2024-03-10,Canada,22,Male,Smart TV,6
JIO1163,Premium,0.29,2022-10-15,2024-09-21,Australia,38,Female,Tablet,3
JIO1164,Free,8.87,2023-11-13,2023-08-15,India,46,Female,Laptop,1
JIO1165,Basic,9.17,2024-01-12,2024-12-01,USA,24,Male,Tablet,1
JIO1166,Free,13.95,2022-05-08,2024-08-13,USA,18,Male,Laptop,3
JIO1167,Free,7.24,2021-07-06,2023-10-31,Australia,57,Other,Laptop,3
JIO1168,Free,13.22,2023-04-03,2024-09-17,Canada,51,Female,Smart TV,1
JIO1169,Free,13.79,2021-07-02,2023-08-22,UK,24,Male,Mobile,3
JIO1170,Basic,13.22,2021-07-13,2023-12-16,USA,57,Other,Laptop,12
JIO1171,Basic,9.42,2022-05-27,2024-10-05,USA,32,Male,Laptop,1
JIO1172,Free,10.92,2022-03-10,2024-06-28,Australia,49,Other,Mobile,1
JIO1173,Free,4.26,2020-10-25,2023-07-25,USA,42,Other,Laptop,12
JIO1174,Free,8.13,2023-03-25,2024-07-23,Canada,28,Other,Mobile,12
JIO1175,Basic,5.97,2020-09-09,2023-10-20,India,47,Female,Tablet,3
JIO1176,Basic,6.63,2020-01-23,2023-09-11,Canada,26,Other,Tablet,6
JIO1177,Premium,6.41,2021-08-21,2023-04-27,UK,49,Other,Laptop,12
JIO1178,Premium,12.44,2020-05-25,2023-07-08,India,22,Male,Mobile,1
JIO1179,Free,9.57,2020-11-19,2023-04-30,UK,33,Male,Tablet,12
JIO1180,Basic,0.05,2020-05-04,2023-07-03,UK,60,Female,Mobile,12
JIO1181,Free,10.26,2021-01-08,2023-06-09,India,25,Male,Tablet,12
JIO1182,Premium,8.09,2020-10-21,2023-07-20,USA,49,Male,Smart TV,12
JIO1183,Basic,4.56,2020-07-13,2023-10-29,India,20,Female,Smart TV,3
JIO1184,Basic,2.77,2024-01-06,2023-07-28,UK,33,Male,Smart TV,1
JIO1185,Basic,9.54,2022-04-22,2024-03-22,India,45,Male,Tablet,1
JIO1186,Premium,6.26,2021-09-18,2024-09-28,Canada,50,Female,Mobile,12
JIO1187,Premium,10.86,2020-01-17,2023-07-16,Canada,31,Female,Laptop,12
JIO1188,Basic,11.35,2022-05-26,2023-10-04,Australia,40,Other,Mobile,1
JIO1189,Basic,4.91,2020-12-05,2024-09-08,UK,25,Female,Mobile,12
JIO1190,Free,2.69,2021-03-08,2024-09-26,Australia,59,Female,Smart TV,1
JIO1191,Free,0.98,2022-10-19,2024-08-19,USA,36,Female,Laptop,1
JIO1192,Basic,11.23,2021-07-20,2023-07-08,Australia,25,Male,Mobile,3
JIO1193,Premium,0.94,2022-10-12,2023-10-08,Canada,48,Other,Smart TV,12
JIO1194,Premium,5.08,2023-06-08,2023-07-20,USA,25,Female,Tablet,12
JIO1195,Premium,6.4,2020-10-30,2023-08-17,USA,44,Other,Laptop,6
JIO1196,Free,13.05,2022-11-24,2023-10-08,Canada,48,Other,Tablet,12
JIO1197,Free,11.77,2023-03-03,2023-09-02,India,45,Female,Smart TV,3
JIO1198,Premium,3.2,2020-11-05,2023-11-16,USA,33,Other,Smart TV,12
JIO1199,Basic,2.48,2023-09-11,2024-01-18,India,53,Female,Laptop,3
JIO1200,Basic,12.73,2020-10-28,2024-10-29,India,56,Other,Smart TV,12
JIO1201,Premium,13.55,2022-07-02,2024-02-08,Australia,54,Other,Laptop,3
JIO1202,Premium,5.32,2022-01-28,2024-10-15,India,21,Female,Mobile,3
JIO1203,Basic,7.03,2020-04-19,2024-07-22,India,40,Female,Laptop,1
JIO1204,Premium,3.84,2022-04-30,2024-06-14,India,44,Female,Laptop,6
JIO1205,Free,4.05,2021-05-01,2024-07-01,Australia,39,Female,Laptop,1
JIO1206,Premium,7.61,2023-02-17,2024-10-18,USA,32,Male,Tablet,3
JIO1207,Premium,14.11,2023-04-26,2023-05-27,USA,42,Female,Laptop,1
JIO1208,Basic,8.84,2020-04-22,2024-07-01,USA,27,Male,Mobile,12
JIO1209,Basic,4.06,2023-08-01,2023-11-06,UK,29,Other,Mobile,6
JIO1210,Premium,10.51,2023-04-14,2024-08-02,Australia,27,Female,Smart TV,12
JIO1211,Premium,5.19,2024-02-07,2023-10-09,UK,53,Female,Mobile,3
JIO1212,Premium,4.61,2021-07-13,2023-11-03,Australia,33,Other,Smart TV,3
JIO1213,Premium,5.47,2021-10-04,2024-11-19,Australia,36,Male,Laptop,12
JIO1214,Free,0.76,2023-07-09,2023-06-21,India,28,Female,Smart TV,3
JIO1215,Premium,9.52,2023-04-13,2024-09-13,UK,48,Female,Mobile,1
JIO1216,Basic,4.49,2021-08-22,2023-08-21,Canada,57,Other,Laptop,6
JIO1217,Basic,7.11,2020-11-04,2024-10-18,Australia,18,Female,Tablet,12
JIO1218,Premium,7.92,2021-03-07,2023-12-07,USA,48,Female,Laptop,3
JIO1219,Free,2.21,2020-01-30,2024-10-31,UK,42,Other,Smart TV,1
JIO1220,Premium,8.4,2023-11-23,2023-10-29,Australia,42,Other,Smart TV,3
JIO1221,Free,7.36,2021-08-20,2024-05-11,UK,34,Female,Laptop,3
JIO1222,Basic,5.68,2021-04-21,2024-09-10,UK,27,Female,Laptop,3
JIO1223,Free,6.46,2023-05-02,2023-08-20,Canada,58,Other,Smart TV,6
JIO1224,Basic,13.77,2021-11-12,2024-08-05,UK,43,Female,Smart TV,3
JIO1225,Basic,1.45,2022-03-07,2023-04-29,Australia,50,Female,Mobile,6
JIO1226,Premium,13.49,2020-09-14,2024-01-10,Canada,31,Female,Mobile,12
JIO1227,Basic,1.25,2022-09-27,2024-03-15,India,59,Female,Laptop,6
JIO1228,Basic,14.01,2022-03-26,2024-07-20,Australia,53,Other,Mobile,1
JIO1229,Basic,9.39,2021-05-04,2023-07-16,Canada,55,Other,Mobile,1
JIO1230,Free,6.03,2021-08-24,2023-12-26,India,25,Other,Smart TV,12
JIO1231,Free,1.43,2022-10-04,2023-07-19,Australia,39,Male,Smart TV,6
JIO1232,Basic,3.69,2021-12-17,2023-08-02,UK,41,Female,Smart TV,3
JIO1233,Free,0.56,2020-11-21,2024-03-18,USA,23,Male,Laptop,1
JIO1234,Premium,1.39,2020-11-16,2024-04-08,UK,49,Female,Laptop,3
JIO1235,Basic,12.7,2020-05-02,2024-12-02,UK,56,Male,Mobile,12
JIO1236,Free,1.14,2023-02-27,2024-02-08,Canada,31,Other,Mobile,1
JIO1237,Free,2.78,2022-11-07,2023-07-05,Australia,19,Other,Smart TV,12
JIO1238,Basic,14.28,2024-01-07,2023-12-12,Australia,24,Other,Laptop,12
JIO1239,Premium,9.08,2020-06-20,2023-06-10,Canada,43,Male,Laptop,3
JIO1240,Free,1.14,2021-12-30,2024-10-10,Australia,55,Other,Laptop,1
JIO1241,Free,1.52,2020-07-16,2023-12-23,UK,21,Male,Smart TV,3
JIO1242,Free,11.57,2021-04-23,2023-06-25,USA,28,Female,Mobile,6
JIO1243,Basic,0.93,2020-11-16,2023-05-30,USA,26,Other,Laptop,12
JIO1244,Free,7.25,2021-01-01,2024-07-06,India,52,Female,Tablet,12
JIO1245,Premium,5.5,2021-06-04,2024-11-08,Australia,39,Female,Smart TV,3
JIO1246,Free,14.85,2021-06-10,2023-06-28,USA,51,Female,Tablet,3
JIO1247,Free,9.47,2022-06-11,2024-08-30,UK,59,Female,Mobile,6
JIO1248,Premium,1.0,2024-02-03,2023-09-27,UK,31,Male,Mobile,3
JIO1249,Premium,0.35,2023-09-03,2023-07-06,Canada,42,Other,Laptop,1
JIO1250,Free,4.7,2020-02-14,2024-05-19,USA,44,Other,Tablet,1
JIO1251,Free,9.07,2022-11-10,2023-07-17,UK,39,Female,Smart TV,12
JIO1252,Premium,11.79,2020-08-24,2024-09-09,India,57,Male,Tablet,3
JIO1253,Free,13.82,2021-01-22,2024-07-22,UK,45,Male,Laptop,6
JIO1254,Free,7.53,2022-05-15,2023-05-18,USA,36,Other,Laptop,1
JIO1255,Basic,7.71,2021-10-11,2024-02-15,Australia,21,Male,Mobile,3
JIO1256,Basic,14.8,2021-10-31,2024-09-03,UK,36,Female,Tablet,3
JIO1257,Premium,11.25,2021-03-13,2023-12-10,USA,26,Other,Tablet,3
JIO1258,Free,10.58,2022-10-15,2024-11-08,UK,47,Female,Mobile,12
JIO1259,Basic,10.54,2020-02-10,2024-11-10,USA,45,Female,Tablet,1
JIO1260,Premium,9.36,2020-05-22,2023-06-17,Australia,28,Other,Laptop,3
JIO1261,Free,12.1,2021-11-15,2024-01-07,India,21,Female,Mobile,12
JIO1262,Free,9.14,2021-10-20,2023-10-20,Australia,51,Female,Mobile,12
JIO1263,Premium,5.44,2022-10-24,2024-01-03,India,41,Female,Tablet,12
JIO1264,Premium,2.91,2020-03-04,2024-08-29,Canada,52,Male,Smart TV,6
JIO1265,Basic,13.24,2023-10-18,2023-08-24,USA,39,Female,Smart TV,12
JIO1266,Free,10.58,2024-01-20,2023-05-22,Canada,48,Female,Laptop,6
JIO1267,Premium,5.11,2020-02-03,2023-11-01,India,27,Other,Smart TV,6
JIO1268,Free,8.68,2023-12-01,2024-01-29,Australia,55,Male,Laptop,6
JIO1269,Premium,8.0,2023-12-30,2023-08-17,UK,34,Female,Smart TV,1
JIO1270,Basic,11.28,2021-03-06,2023-08-15,Canada,41,Male,Tablet,1
JIO1271,Basic,3.12,2020-03-12,2024-04-17,USA,19,Male,Smart TV,1
JIO1272,Free,9.33,2020-11-15,2024-07-21,India,56,Other,Smart TV,12
JIO1273,Premium,8.9,2021-03-08,2024-03-30,Australia,58,Other,Tablet,3
JIO1274,Premium,0.85,2021-12-27,2024-10-19,UK,48,Male,Mobile,3
JIO1275,Premium,10.2,2020-03-13,2024-10-07,Australia,35,Other,Laptop,12
JIO1276,Free,11.33,2022-08-23,2024-08-31,UK,54,Male,Laptop,6
JIO1277,Free,10.51,2022-04-02,2023-04-24,USA,37,Male,Smart TV,3
JIO1278,Free,1.8,2023-08-01,2023-04-22,Canada,36,Male,Laptop,1
JIO1279,Premium,8.37,2023-05-29,2023-05-23,India,58,Female,Smart TV,12
JIO1280,Premium,10.46,2023-10-04,2024-03-13,UK,59,Female,Laptop,6
JIO1281,Basic,5.86,2020-02-29,2024-02-29,India,18,Other,Smart TV,1
JIO1282,Free,6.68,2022-01-18,2024-09-07,Australia,51,Other,Mobile,6
JIO1283,Premium,9.27,2023-03-16,2024-11-01,UK,51,Other,Laptop,3
JIO1284,Free,9.99,2021-07-24,2024-06-20,Australia,31,Other,Laptop,1
JIO1285,Basic,3.14,2023-05-29,2024-07-18,Canada,47,Male,Smart TV,12
JIO1286,Free,5.33,2020-03-13,2024-08-01,UK,25,Male,Mobile,6
JIO1287,Basic,4.61,2023-01-19,2024-10-14,Canada,30,Other,Tablet,12
JIO1288,Premium,7.6,2024-01-22,2023-06-01,UK,29,Female,Smart TV,3
JIO1289,Premium,10.07,2021-02-22,2023-12-01,Canada,45,Female,Laptop,6
JIO1290,Free,5.07,2023-08-01,2024-01-27,Canada,57,Female,Tablet,6
JIO1291,Basic,5.04,2023-12-06,2023-12-13,Australia,31,Female,Smart TV,6
JIO1292,Free,8.47,2024-01-19,2024-06-06,Australia,18,Female,Mobile,12
JIO1293,Basic,11.26,2022-03-18,2024-01-23,Canada,43,Female,Mobile,1
JIO1294,Free,6.48,2022-04-03,2023-11-12,USA,37,Other,Laptop,6
JIO1295,Free,13.63,2021-12-08,2023-04-25,UK,25,Female,Laptop,1
JIO1296,Premium,7.82,2021-03-05,2024-07-18,Canada,47,Other,Tablet,1
JIO1297,Premium,7.98,2021-06-07,2024-03-08,Canada,52,Male,Mobile,12
JIO1298,Free,10.8,2023-10-28,2023-07-21,Australia,51,Female,Smart TV,1
JIO1299,Premium,5.8,2022-12-23,2024-07-05,USA,42,Male,Tablet,6
JIO1300,Basic,1.25,2023-08-28,2023-04-21,UK,38,Male,Mobile,3
JIO1301,Premium,11.34,2020-11-26,2023-07-23,Australia,60,Other,Smart TV,1
JIO1302,Free,0.45,2023-06-26,2024-08-12,USA,41,Other,Smart TV,6
JIO1303,Basic,14.95,2022-06-21,2023-10-28,UK,27,Other,Smart TV,12
JIO1304,Premium,4.2,2021-08-16,2024-02-03,India,31,Other,Smart TV,1
JIO1305,Premium,5.67,2021-05-27,2024-02-10,Canada,44,Female,Laptop,12
JIO1306,Basic,10.76,2023-08-08,2024-10-26,Canada,46,Other,Tablet,3
JIO1307,Premium,10.76,2022-10-23,2023-04-25,UK,33,Male,Smart TV,3
JIO1308,Premium,3.89,2023-11-14,2024-05-16,USA,43,Other,Smart TV,12
JIO1309,Basic,8.49,2022-12-28,2024-08-18,India,22,Male,Laptop,1
JIO1310,Basic,14.52,2022-11-20,2023-07-03,India,40,Other,Tablet,1
JIO1311,Basic,14.34,2022-12-27,2024-04-13,India,41,Female,Smart TV,6
JIO1312,Premium,14.34,2020-01-14,2023-10-11,UK,25,Other,Smart TV,3
JIO1313,Free,10.4,2023-01-31,2024-11-28,Canada,53,Male,Tablet,6
JIO1314,Free,5.36,2021-04-17,2024-05-21,USA,53,Male,Tablet,12
JIO1315,Free,3.33,2021-12-19,2024-01-11,India,23,Male,Smart TV,1
JIO1316,Basic,4.25,2022-08-18,2024-04-28,UK,27,Male,Tablet,6
JIO1317,Basic,9.15,2024-01-18,2023-07-12,Canada,22,Other,Tablet,1
JIO1318,Free,5.92,2021-05-22,2024-11-20,UK,30,Other,Mobile,3
JIO1319,Basic,14.67,2022-10-09,2024-06-23,UK,20,Male,Mobile,3
JIO1320,Free,2.31,2023-01-31,2024-11-05,Canada,26,Female,Laptop,6
